2023-01-13	Model and db	Branch: task/mp/email-subscription-models	60	laravel,php,livewire,tailwind-css
2023-01-31	My account and colours	Branch: task/mp/my-account-style	300	laravel,php,livewire,tailwind-css
2023-02-10	Homepage editor	Branch: task/mp/homepage-editor-v2-1-styling	300	laravel,php,livewire,tailwind-css
2023-02-15	Page content	Branch: task/mp/homepage-editor-v2-2-content	300	laravel,php,livewire,tailwind-css
2023-02-17	Basic API endpoint	Branch: task/mp/24-basket-product-api	120	laravel,php,livewire,tailwind-css,tdd,apis
2023-02-17	Basket page WIP	Branch: task/mp/24-basket-page	120	laravel,php,livewire,tailwind-css
2023-02-17	Product add to basket	Branch: task/mp/24-basket-product-page	120	laravel,php,livewire,tailwind-css
2023-02-17	Task/mp/24 basket localstore	Branch: task/mp/24-basket-localstore	60	laravel,php,livewire,tailwind-css
2023-02-23	Checkout login	Branch: task/mp/24-basket-checkout-1	180	laravel,php,livewire,tailwind-css
2023-02-23	Basket final	Branch: task/mp/24-basket-product-integration	180	laravel,php,livewire,tailwind-css
2023-02-24	Delivery and WP	Branch: task/mp/24-basket-checkout-3	240	laravel,php,livewire,tailwind-css,payment-gateways,apis
2023-02-24	Checkout	Branch: task/mp/24-basket-checkout-2	240	laravel,php,livewire,tailwind-css,tdd
2023-02-27	Task/mp/24 basket worldpay callback	Branch: task/mp/24-basket-worldpay-callback	120	laravel,php,livewire,tailwind-css,payment-gateways,apis
2023-02-27	Added exception for worldpay routes	Branch: task/mp/24-basket-csrf-exception	120	laravel,php,livewire,tailwind-css,payment-gateways,apis
2023-03-01	Fix attempt 1	Branch: task/mp/24-basket-debug-2	60	laravel,php,livewire,tailwind-css
2023-03-01	Debug route	Branch: task/mp/24-basket-debug-1	60	laravel,php,livewire,tailwind-css
2023-03-01	Task/mp/24 basket worldpay callback 2	Branch: task/mp/24-basket-worldpay-callback-2	120	laravel,php,livewire,tailwind-css,payment-gateways,apis
2023-03-01	Creating the Order	Branch: task/mp/24-basket-order	180	laravel,php,livewire,tailwind-css
2023-03-02	Fixes and tidying up	Branch: task/mp/24-basket-tidy-1	300	laravel,php,livewire,tailwind-css
2023-03-14	Task/mp/61 address postcodes	Branch: task/mp/61-address-postcodes	240	laravel,php,livewire,tailwind-css
2023-03-14	Google address autocomp	Branch: task/mp/61-address-googleapi	120	laravel,php,livewire,tailwind-css,apis
2023-03-17	Basket fix 2	Branch: task/mp/17-03-fixes-basket-2	60	laravel,php,livewire,tailwind-css
2023-03-17	Fix lw issues	Branch: task/mp/62-homepage-contents-fixlw	60	laravel,php,livewire,tailwind-css
2023-03-17	Fix API route	Branch: task/mp/17-03-fixes-1	60	laravel,php,livewire,tailwind-css,tdd,apis
2023-03-17	Css fixes	Branch: task/mp/62-homepage-contents-fixes	60	laravel,php,livewire,tailwind-css
2023-03-17	Enable editing the Homepage editor	Branch: task/mp/62-homepage-contents-editor	60	laravel,php,livewire,tailwind-css
2023-03-17	Default banners and content	Branch: task/mp/62-homepage-contents-banners	60	laravel,php,livewire,tailwind-css
